Date,URL,Likes,Comments,Shares,Content
2020-03-09T02:54:49+0000,https://www.facebook.com/groups/202967334122272/209917060093966,5,1,0,"VOV.VN -Trưa nay (7/3), bệnh nhân được chuyển đến khu cách ly khoa truyền nhiễm, bệnh viện đa khoa tỉnh Ninh Bình để theo dõi và điều trị.
15h00 ngày 7/3, Viện Vệ sinh Dịch tễ Trung ương, thông báo kết quả xét nghiệm dương tính Covid-19 đối với bệnh nhân N.V.T, 27 tuổi, quê Thái Bình, đến Daegu ngày 17/2/2020, trở về Việt Nam trên chuyến bay VJ981 từ Busan (Hàn Quốc) đến Vân Đồn (Quảng Ninh) ngày 4/3/2020.
Sau khi nhập cảnh Việt Nam, bệnh nhân đã được cách ly tập trung, được lấy mẫu xét nghiệm và phát hiện dương tính với SARS-CoV-2. Hiện nay, Ban chỉ đạo phòng chống dịch bệnh Covid-19 đang triển khai các biện pháp kiểm soát, ngăn ngừa dịch bệnh. Đây là ca bệnh thứ 18 trên cả nước tính đến thời điểm này."
2020-03-09T02:52:11+0000,https://www.facebook.com/groups/202967334122272/210609213358084,4,2,0,"Sát khuẩn, khử trùng  tại Chi.na 

Dịch viêm phổi cấp chủng mới #Chinacoronavirus #WuHan #Covid19 đang hoành hành ở V.ũ Há.n và Tỉnh Hồ Bắc Tru.ng Quố.c

Các khu vực bị ảnh hưởng đã thực hiện các lệnh đóng cửa nghiêm ngặt nhất.

#ChinaWuHancoronavirus
#virusCorona
#WuHanCoronavirus
#Wuhan 
#wuhanvirus
#PRC
#ChineseNewYear
#Coronavirus
#VũHán
#ChinaTQ
#VietNamVN
#Goyang
#HanQuoc
#TaiWan"
2020-03-09T02:50:05+0000,https://www.facebook.com/groups/202967334122272/210592973359708,9,1,0,"Tuyệt vời, một nhà báo chân chính ✌"
2020-03-09T02:47:38+0000,https://www.facebook.com/groups/202967334122272/210624043356601,0,0,0,"ủng hộ kênh lisa phạm vấn đáp nhe bà con!"
2020-03-09T02:42:08+0000,https://www.facebook.com/groups/202967334122272/210645846687754,0,0,0,
2020-03-09T02:27:15+0000,https://www.facebook.com/groups/202967334122272/210562756696063,21,1,2,"Haizz...chán ngán."
2020-03-09T02:12:51+0000,https://www.facebook.com/groups/202967334122272/210625100023162,3,0,0,
2020-03-09T02:08:33+0000,https://www.facebook.com/groups/202967334122272/210402603378745,2,2,1,
2020-03-09T01:57:31+0000,https://www.facebook.com/groups/202967334122272/210617273357278,10,0,2,
2020-03-09T01:57:13+0000,https://www.facebook.com/groups/202967334122272/210444726707866,6,2,5,"Các chuyên gia của WHO đã đến Tr.ung Quố.c để kiểm tra tình hình dịch bệnh #ChinaWuHanCoronavirus . Các chuyên gia đã thân mật và lắng nghe báo cáo về dịch bệnh của Tru.ng Qu.ốc. 
 Đây là một sự kiện công cộng vào ban ngày. Chế độ C.ộng s.ản sẽ giải trí họ vào ban đêm như thế nào? 

👉 Dịch viêm phổi cấp chủng mới #Chinacoronavirus #WuHan #Covid19 đang hoành hành ở V.ũ Há.n và Tỉnh Hồ Bắc Tru.ng Quố.c

Các khu vực bị ảnh hưởng đã thực hiện các lệnh đóng cửa nghiêm ngặt nhất.

#ChinaWuHancoronavirus
#virusCorona
#WuHanCoronavirus
#Wuhan 
#wuhanvirus
#PRC
#ChineseNewYear
#Coronavirus
#VũHán
#ChinaTQ
#VietNamVN
#Goyang
#HanQuoc
#TaiWan"
2020-03-09T01:37:39+0000,https://www.facebook.com/groups/202967334122272/210059380079734,37,3,6,😂🤣
